ACTION;WORDNET;WN_OFFSET;VERBNET;FRAMENET;NPC
ask female about male;ask.v.01;v00784342;;40;0
ask for akbar;ask.v.02;v00752493;;41;0
ask for mycroft holmes;ask.v.02;v00752493;;41;0
ask for pigeon;ask.v.02;v00752493;;41;0
ask george about bag;ask.v.01;v00784342;;40;0
ask george about beetlebaum;ask.v.01;v00784342;;40;0
ask george about dehlila;ask.v.01;v00784342;;40;0
ask george about frank;ask.v.01;v00784342;;40;0
ask george about gumball;ask.v.01;v00784342;;40;0
ask george about town;ask.v.01;v00784342;;40;0
ask gnome about color magnet;ask.v.01;v00784342;;40;0
ask gnome about fire;ask.v.01;v00784342;;40;0
ask gnome about mother;ask.v.01;v00784342;;40;0
ask gnome about page;ask.v.01;v00784342;;40;0
ask gnome about prinout;ask.v.01;v00784342;;40;0
ask gnome about statue;ask.v.01;v00784342;;40;0
ask gnome for ball;ask.v.02;v00752493;;41;0
ask governor about key;ask.v.01;v00784342;;40;0
ask hacker about keys;ask.v.01;v00784342;;40;0
ask hacker for master key;ask.v.02;v00752493;;41;0
ask harry about eddie smaldone;ask.v.01;v00784342;;40;0
ask hawker about candy;ask.v.01;v00784342;;40;0
ask her about key;ask.v.01;v00784342;;40;0
ask her about rare books;ask.v.01;v00784342;;40;0
ask hermit about entrance;ask.v.01;v00784342;;40;0
ask hermit about exit;ask.v.01;v00784342;;40;0
ask him about librarian;ask.v.01;v00784342;;40;0
ask him about nelson;ask.v.01;v00784342;;40;0
ask holmes about ash;ask.v.01;v00784342;;40;0
ask k9 about control;ask.v.01;v00784342;;40;0
ask k9 about cybermen;ask.v.01;v00784342;;40;0
ask k9 about door;ask.v.01;v00784342;;40;0
ask k9 about k9;ask.v.01;v00784342;;40;0
ask k9 about reactor;ask.v.01;v00784342;;40;0
ask k9 about sequence;ask.v.01;v00784342;;40;0
ask kemp about circuit breaker;ask.v.01;v00784342;;40;0
ask librarian for book;ask.v.02;v00752493;;41;0
ask male about daddy;ask.v.01;v00784342;;40;0
ask male about female;ask.v.01;v00784342;;40;0
ask male about invitation;ask.v.01;v00784342;;40;0
ask male about officer;ask.v.01;v00784342;;40;0
ask male about work;ask.v.01;v00784342;;40;0
ask man about eranti;ask.v.01;v00784342;;40;0
ask man about hammer;ask.v.01;v00784342;;40;0
ask marion about encyclopedia;ask.v.01;v00784342;;40;0
ask marion about nelson;ask.v.01;v00784342;;40;0
ask mary for ladder;ask.v.02;v00752493;;41;0
ask morgan about dragon;ask.v.01;v00784342;;40;0
ask officer about convention;ask.v.01;v00784342;;40;0
ask pedlar about beans;ask.v.01;v00784342;;40;0
ask pedlar about suitcase;ask.v.01;v00784342;;40;0
ask pitchman about dr nostrum;ask.v.01;v00784342;;40;0
ask proprietor about amulet;ask.v.01;v00784342;;40;0
ask skier about scroll;ask.v.01;v00784342;;40;0
ask spirit for name;ask.v.02;v00752493;;41;0
ask sydney for hat;ask.v.02;v00752493;;41;0
ask technician about security gates;ask.v.01;v00784342;;40;0
ask tip about grid;ask.v.01;v00784342;;40;0
ask tip for tool;ask.v.02;v00752493;;41;0
ask trent about elizabeth;ask.v.01;v00784342;;40;0
ask what gnome looking for;ask.v.01;v00784342;;40;0
ask wiggins to get garnet;take.v.04;v01214265;;410;1
ask wiggins to steal keys;steal.v.01;v002321757;get-13.5.1-1,steal-10.5;94;1
ask wolf about pigs;ask.v.01;v00784342;;40;0
ask wolf to blow turbine;blow.v.14;v02100632;split-23.2;7;1
ask woman about roadrunner;ask.v.01;v00784342;;40;0
ask woman about ruby;ask.v.01;v00784342;;40;0
attach paper to teeth;attach.v.01;v001296462;shake-22.3-2-1;197;0
attach string to kite;attach.v.01;v001296462;shake-22.3-2-1;197;0
attack crulley;attack.v.01;v001119169;;424;0
attack dragon with sword;attack.v.01;v001119169;;424;0
attack thief with nasty knife;attack.v.01;v001119169;;424;0
away;say.v.08;v00979870;say-37.7-1;6;0
bandage arm with rags;bandage.v.02;v00083124;fill-9.8;;0
bark;bark.v.04;v001047745;animal_sounds-38;39;0
bathe;bathe.v.01;v00035603;dress-41.1.1;159;0
beetlebaum;call.v.05;v00792471;get-13.5.1;1253;0
bekdab golem;;;;;0
berknip;answer.v.01;v00815686;;42;0
bite banana;bite.v.01;v01445932;hurt-40.8.3-2,swat-18.2;;0
blast;blast.v.03;v01135922;;417;0
blizzard;say.v.08;v00979870;say-37.7-1;6;0
blorb adventurer;;;;;0
blorple 1;;;;;0
blorple 10;;;;;0
blorple 11;;;;;0
blorple 12;;;;;0
blorple 2;;;;;0
blorple 3;;;;;0
blorple 4;;;;;0
blorple 5;;;;;0
blorple 7;;;;;0
blorple 8;;;;;0
blorple 9;;;;;0
blorple x10;;;;;0
blow dust;blow.v.01;v00007012;;;0
blow horn;blow.v.11;v002135727;;;0
blow in tube;blow.v.01;v00007012;;;0
blow it;blow.v.01;v00007012;;;0
blow shawm;blow.v.01;v00007012;;;0
blow spices at lafond;blow.v.01;v00007012;;;0
blow whistle;blow.v.11;v002135727;;;0
boo;say.v.08;v00979870;say-37.7-1;6;0
bozbar horse;;;;;0
bozbar tortoise;;;;;0
break ampoule;break.v.05;v00334996;break-45.1;414;0
break bottle;break.v.05;v00334996;break-45.1;414;0
break branch;break.v.05;v00334996;break-45.1;414;0
break bubble with axe;break.v.05;v00334996;break-45.1;414;0
break cabinet;break.v.05;v00334996;break-45.1;416;0
break door;break.v.05;v00334996;break-45.1;416;0
break frame;break.v.05;v00334996;break-45.1;414;0
break glass with hammer;break.v.05;v00334996;break-45.1;414;0
break padlock with hook;break.v.05;v00334996;break-45.1;414;0
break seal with pickaxe;break.v.05;v00334996;break-45.1;414;0
break wall;break.v.05;v00334996;break-45.1;414;0
break window;break.v.05;v00334996;break-45.1;414;0
break windows;break.v.05;v00334996;break-45.1;414;0
build glider;construct.v.01;v01654628;build-26.1-1;259;0
bunyon;;;;;0
burn paper;burn.v.01;v00378664;other_cos-45.4;2824;0
burn pole with torch;burn.v.01;v00378664;other_cos-45.4;2824;0
burn rope with candle;burn.v.01;v00378664;other_cos-45.4;2824;0
burn speck;burn.v.01;v00378664;other_cos-45.4;2824;0
burn string;burn.v.01;v00378664;other_cos-45.4;2824;0
buy bag;buy.v.01;v02207206;get-13.5.1;171;0
buy beer;buy.v.01;v02207206;get-13.5.1;171;0
buy blue carpet;buy.v.01;v02207206;get-13.5.1;171;0
buy box;buy.v.01;v02207206;get-13.5.1;171;0
buy c battery and putty;buy.v.01;v02207206;get-13.5.1;171;0
buy candy from hawker;buy.v.01;v02207206;get-13.5.1;171;0
buy drink;buy.v.01;v02207206;get-13.5.1;171;0
buy electromagnet;buy.v.01;v02207206;get-13.5.1;171;0
buy flashlight and repellent;buy.v.01;v02207206;get-13.5.1;171;0
buy peanuts;buy.v.01;v02207206;get-13.5.1;171;0
buy sandwich;buy.v.01;v02207206;get-13.5.1;171;0
buy telescope;buy.v.01;v02207206;get-13.5.1;171;0
buy ticket;buy.v.01;v02207206;get-13.5.1;171;0
call Maxx;call.v.03;v00789448;;286;0
call wpdl;call.v.03;v00789448;;286;0
candles;heat.v.01;v00371264;other_cos-45.4;;0
carve my name on the memorial;carve.v.02;v01256600;carve-21.2-2,scribble-25.2;265;0
caskly chewed scroll;;;;;0
caskly hut;;;;;0
caskly moldy book;;;;;0
cast frotz on amulet;hurl.v.01;v01507143;;;0
cast girgol;hurl.v.01;v01507143;;;0
cast lesoch;hurl.v.01;v01507143;;;0
catch it;catch.v.04;v01439190;get-13.5.1;;0
catch mouse with bucket;catch.v.04;v01439190;get-13.5.1;;0
cheryl, pull rods;pull.v.04;v01609287;carry-11.4,push-12-1;55;1
chew gum;chew.v.01;v01201089;chew-39.2-1;;0
chop ice with axe;chop.v.01;v01258091;carve-21.2-2;265;0
chop tree;chop.v.01;v01258091;carve-21.2-2;265;0
city;choose.v.01;v00674607;get-13.5.1;352;0
clap;clap.v.07;v01237398;;16;0
clean dirty floor with moss;clean.v.01;v01532589;other_cos-45.4;;0
clean lump;clean.v.01;v01532589;other_cos-45.4;;0
clean podium;clean.v.01;v01532589;other_cos-45.4;;0
clean skeleton with moss;clean.v.01;v01532589;other_cos-45.4;;0
clean table with cloth;clean.v.01;v01532589;other_cos-45.4;;0
click designers_manual;;;;;0
click ftp;;;;;0
click if-archive;;;;;0
click lpr;;;;;0
click on edit;;;;;0
click on more;;;;;0
click on paper;;;;;0
climb beanstalk;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb can;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb down;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb down chimney;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb down rope;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb idol;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb ladder;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb on stage;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb on table;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb out of pipe;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb piano;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb pillar;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb porous wall;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb rope;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb scarf;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb stand;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb tree;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
climb up piano;climb.v.01;v01921964;escape-51.1-1,run-51.3.2;64;0
clip monster;snip.v.02;v01321002;cut-21.1-1;;0
close access panel;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close breaker;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close cabinet;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close cage;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close canteen;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close circuit breaker;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close cold box;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close door;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close drawer;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close furnace;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close hatch;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close it;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close jar;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close lid;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close link;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close locket;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close matchbook;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close outer;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close outer door;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close oven;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close panel;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close pizza box;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close plate;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close raincoat;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close reactor;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close receptacle;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close roof;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close shield;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close slot;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close tapestry;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close torch;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close trapdoor;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close tray;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close valve;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;;0
close zipper;close.v.01;v01345109;crane-40.3.2,other_cos-45.4;254;0
cock crossbow;cock.v.02;v01247426;;;0
consult scriptures about planes;consult.v.02;v00877083;meet-36.3-1;;0
cook pork chops;cook.n.01;v09963320;;268;0
copy flimsy scroll to vellum scroll;transcript.n.02;v06505517;;11;0
cover hole 3;cover.v.01;v01332730;fill-9.8;652;0
cover hole 6;cover.v.01;v01332730;fill-9.8;652;0
cover opening with blanket;cover.v.01;v01332730;fill-9.8;652;0
cover trapdoor with bearskin rug;cover.v.01;v01332730;fill-9.8;652;0
covert;;;;;0
cross river;traverse.v.01;v01912159;escape-51.1-1;1310;0
cuss;curse.v.01;v00865387;;;0
cut blue tassel;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut blue wire;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut branch with knife;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut cable;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut clingfilm with knife;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut coconut with axe;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut flower;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut green with scalpel;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut growth with cutter;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut jacket with glass;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut line with axe;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut line with dagger;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut line with knife;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut rope with dagger;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
cut rope with knife;cut.v.01;v01552519;cut-21.1-1,split-23.2;265;0
d;travel.v.01;v01835496;run-51.3.2;7;0
dehlila;say.v.08;v00979870;say-37.7-1;6;0
demon, give me wand;give.v.03;v02199590;give-13.1-1;139;1
dial 576-3190;dial.v.02;v00676135;;;0
dig;dig.v.01;v01309701;;;0
dig earth;dig.v.01;v01309701;;;0
dig ground;dig.v.01;v01309701;;;0
dig ground with axe;dig.v.01;v01309701;;;0
dig in ground;dig.v.01;v01309701;;;0
dig in sand;dig.v.01;v01309701;;;0
dig in tub;dig.v.01;v01309701;;;0
dig plot with shovel;dig.v.01;v01309701;;;0
dig rock with axe;dig.v.01;v01309701;;;0
dig sand;dig.v.01;v01309701;;;0
dip rag in water;dunk.v.01;v01577093;funnel-9.3-1;2192;0
dip torch in liquid;dunk.v.01;v01577093;funnel-9.3-1;2192;0
dive;dive.v.03;v01962671;;61;0
dive in ocean;dive.v.03;v01962671;;61;0
dock;enter.v.01;v02016523;escape-51.1-1;;0
douse candles;douse.v.01;v02760495;fill-9.8;2820;0
douse lamp;douse.v.01;v02760495;fill-9.8;2820;0
down;travel.v.01;v01835496;run-51.3.2;7;0
download image;download.v.01;v02233704;;;0
download video;download.v.01;v02233704;;;0
dragon, give ring to me;give.v.03;v02199590;give-13.1-1;139;1
dragon, open door;open.v.01;v01346003;crane-40.3.2,other_cos-45.4,spatial_configuration-47.6;254;1
draw line from b to j;trace.v.02;v01582645;performance-26.7-2-1;;0
draw line from f to p;trace.v.02;v01582645;performance-26.7-2-1;;0
draw symbol on me;trace.v.02;v01582645;performance-26.7-2-1;;0
dress;dress.v.01;v00046534;dress-41.1.1;1211;0
drill case with drill;bore.v.02;v01443021;carve-21.2-2;;0
drill safe with drill;bore.v.02;v01443021;carve-21.2-2;;0
drink beer;drink.v.01;v01170052;eat-39.1-2;263;0
drink coke;drink.v.01;v01170052;eat-39.1-2;263;0
drink drink;drink.v.01;v01170052;eat-39.1-2;263;0
drink liquid;drink.v.01;v01170052;eat-39.1-2;263;0
drink medicine;drink.v.01;v01170052;eat-39.1-2;263;0
drink ochre potion;drink.v.01;v01170052;eat-39.1-2;263;0
drink potion;drink.v.01;v01170052;eat-39.1-2;263;0
drink tea;drink.v.01;v01170052;eat-39.1-2;263;0
drink water;drink.v.01;v01170052;eat-39.1-2;263;0
drink whiskey;drink.v.01;v01170052;eat-39.1-2;263;0
drink wine;drink.v.01;v01170052;eat-39.1-2;263;0
drive to buckingham palace;drive.v.01;v01930874;;65;0
drive to covent garden;drive.v.01;v01930874;;65;0
drive to pinchin lane;drive.v.01;v01930874;;65;0
drive to the embankment;drive.v.01;v01930874;;65;0
drive to the monument;drive.v.01;v01930874;;65;0
drive to tower of london;drive.v.01;v01930874;;65;0
drive to trafalgar square;drive.v.01;v01930874;;65;0
drive to whitehall;drive.v.01;v01930874;;65;0
drop all;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all bricks;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but brain;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but candle;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but flashlight;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but lens;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but pager;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all but pincer;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all cubes;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all except 10, book;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all except bottle;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all except bread;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop all except radio;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop amulet;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop anchor;drop.v.02;v01976841;put_direction-9.4;362;0
drop antimacassar;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop aqua vial;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop axe;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bag;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop balsa wood beam;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop banana;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bandage;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bar;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bear;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop beer can;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bees;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bench;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bible;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bird;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop birdcage;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop biscuit, paper;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bladder;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop blanket;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop blue paper and yellow paper;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop book;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop booklet;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop boots;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bottle;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bowl;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop box;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop branch;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop brass key;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bread;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop briefcase;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop broom;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop brown;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop bucket;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop buoy;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cage;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop calendar;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop camera;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop can;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop candle;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop candles;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop canteen and shuttle card;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cap;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop card;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cardboardbox;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop carpet;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop carton;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop chain;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop chair;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop chest;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop clipper;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop clock;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cloth;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop coconut;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop coin;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop coins;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop container and assignment;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cork;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cracked;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop crampons;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop crayon and pacquet;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop crown;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop crown, stamp, zorkmid and ruby;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop crumpled;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cup;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop cutter, flask and axe;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dagger;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop decaf;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop diamonds;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dino;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dodo;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop door;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dragon and paper;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop drill;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop drive;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dumbells;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dummy;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dusty book;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop dusty brick;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop egg;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop eggs;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop emerald;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
drop fifth brick;drop.v.01;v01977701;put_direction-9.4,roll-51.3.1;55;1
